t,x,y
0.0,12.0,6.0
0.01,11.753757717085497,6.008626362595484
0.02,11.51486476067034,6.014608509157377
0.03,11.283078620836013,6.018095782174733
0.04,11.05816539245969,6.019230764179628
0.05,10.83989945571882,6.018149560712313
0.06,10.628063168768804,6.014982071836638
0.07,10.422446572123444,6.009852252661712
0.08,10.222847104286211,6.002878363307751
0.09,10.029069328197881,5.994173208736751
0.1,9.840924668083067,5.983844368852024
0.11,9.658231156294384,5.971994419254614
0.12,9.480813189768542,5.958721143029303
0.13,9.308501295723755,5.944117733918196
0.14,9.14113190624219,5.928272991225623
0.15,8.978547141395048,5.911271506784629
0.16,8.820594600581178,5.893193844302133
0.17,8.667127161762922,5.874116711387375
0.18,8.518002788295163,5.854113124556149
0.19,8.373084343055387,5.8332525674917886
0.2,8.23223940959383,5.811601142832711
0.21,8.095340120033853,5.789221717745664
0.22,7.962262989462974,5.766174063533528
0.23,7.832888756565197,5.742514989516691
0.24,7.707102230254915,5.7182984714175245
0.25,7.584792142081929,5.693575774468394
0.26,7.46585100418613,5.668395571454899
0.27,7.350174972588908,5.642804055897642
0.28,7.2376637156166765,5.616845050567754
0.29,7.128220287259781,5.590560111523676
0.3,7.021751005277709,5.563988627849221
0.31,6.918165333868849,5.537167917265839
0.32,6.817375770730055,5.5101333177851055
0.33,6.719297738338088,5.482918275560865
0.34,6.62384947929147,5.455554429094153
0.35000000000000003,6.530951955557551,5.428071689937898
0.36,6.440528751475598,5.400498320042585
0.37,6.35250598037247,5.372861005878455
0.38,6.266812194653025,5.345184929464388
0.39,6.183378299232699,5.3174938364284765
0.4,6.102137468184833,5.2898101012203105
0.41000000000000003,6.02302506448027,5.262154789590199
0.42,5.9459785627014385,5.234547718445989
0.43,5.870937474617728,5.207007513193725
0.44,5.797843277513287,5.179551662664151
0.45,5.72663934516264,5.152196571723007
0.46,5.657270881353471,5.124957611659154
0.47000000000000003,5.589684855859899,5.097849168440808
0.48,5.523829942773214,5.070884688926581
0.49,5.459656461100703,5.044076725114541
0.5,5.397116317546561,5.017436976509196
0.51,5.336162951392277,4.990976330683113
0.52,5.276751281397003,4.96470490210681
0.53,5.218837654641515,4.938632069317627
0.54,5.162379797242281,4.912766510495443
0.55,5.1073367668650125,4.887116237510399
0.56,5.053668906969766,4.861688628505167
0.5700000000000001,5.0013378027222855,4.8364904590718245
0.58,4.95030623850878,4.811527932080951
0.59,4.900538156993752,4.786806706218295
0.6,4.851998619662793,4.762331923282109
0.61,4.804653768794523,4.738108234292129
0.62,4.758470790807948,4.7141398244591475
0.63,4.713417880933618,4.69043043706212
0.64,4.669464209158913,4.666983396277916
0.65,4.626579887399694,4.643801629006965
0.66,4.584735937852399,4.620887685736319
0.67,4.54390426248241,4.598243760480023
0.68,4.5040576136062045,4.575871709834995
0.6900000000000001,4.46516956552644,4.553773071189174
0.7000000000000001,4.427214487180676,4.531949080117148
0.71,4.390167515765934,4.510400686997057
0.72,4.3540045313027615,4.4891285728812615
0.73,4.318702132103816,4.468133164651861
0.74,4.28423761111335,4.447414649490983
0.75,4.250588933085261,4.426972988694486
0.76,4.217734712568567,4.406807930856609
0.77,4.1856541926704045,4.38691902445194
0.78,4.1543272245677425,4.367305629840053
